areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2020-05-05,13723
overview,United Kingdom,K02000001,2020-05-04,14097
overview,United Kingdom,K02000001,2020-05-03,14188
overview,United Kingdom,K02000001,2020-05-02,14380
overview,United Kingdom,K02000001,2020-05-01,14723
overview,United Kingdom,K02000001,2020-04-30,15164
overview,United Kingdom,K02000001,2020-04-29,15521
overview,United Kingdom,K02000001,2020-04-28,15877
overview,United Kingdom,K02000001,2020-04-27,16662
overview,United Kingdom,K02000001,2020-04-26,16555
overview,United Kingdom,K02000001,2020-04-25,16604
overview,United Kingdom,K02000001,2020-04-24,17063
overview,United Kingdom,K02000001,2020-04-23,17867
overview,United Kingdom,K02000001,2020-04-22,18533
overview,United Kingdom,K02000001,2020-04-21,19139
overview,United Kingdom,K02000001,2020-04-20,19331
overview,United Kingdom,K02000001,2020-04-19,19574
overview,United Kingdom,K02000001,2020-04-18,19456
overview,United Kingdom,K02000001,2020-04-17,19330
overview,United Kingdom,K02000001,2020-04-16,20389
overview,United Kingdom,K02000001,2020-04-15,20582
overview,United Kingdom,K02000001,2020-04-14,21281
overview,United Kingdom,K02000001,2020-04-13,21308
overview,United Kingdom,K02000001,2020-04-12,21687
overview,United Kingdom,K02000001,2020-04-11,21254
overview,United Kingdom,K02000001,2020-04-10,21280
